Index,Annual Event #,Metric Interval Event #,Start,Finish,Component Type,Object Name,Inducing Object,Protective Device,Desired Fault type,Fault Type,Number customers affected,Secondary number of customers affected,Location,Meters Affected,Cause
828,19,19,2000-10-07 08:01:00,2000-10-07 08:03:00,overhead_line,19202,RandEvent,F7508,TLG,TLG,30,0,-102.760734241 32.9924254282,node62463012543T62463012540 node62474207559T62474207612 node62462059793T62462059787 node62474205893T62474206824 node62463185287T62463186324 node62474203443T62474203356 node62463027895T62463028953 node62463078953T62463078922 node62462226475T62462227457 node62462231679T62462231679 node62462172377T62462172490 node62463014628T62463014734 node62462222990T62462222900 node62474207119T62474207223 node62474181379T62474181443 node62474195151T62474196103 node62474211060T62463031930 node62462110050T62462110060 node62474205692T62474206624 node62463128092T62463188978 node62474202953T62474202989 node62463000348T62463000400 node62463019058T62463019150 node62462232961T62462233819 node62463074798T62463074775 node62474206893T62474207830 node62462178343T62462178321 node62462100389T62462101338 node62463022720T62463022676 node62462225969T62462166024,bird
829,20,20,2000-10-07 10:24:00,2000-10-07 10:26:00,overhead_line,19582,RandEvent,F6537,TLG,SLG-A,5,0,-102.76187024 32.992222956,node62474204552T62474204575 node62474204748T62474204749 node62462169230T62462169245 node62463019437T62463019414 node62474202953T62474202989,bird
830,21,21,2000-10-07 11:49:00,2000-10-07 11:51:00,overhead_line,19507,RandEvent,,TLG,None,0,0,-102.762459409 32.9920625597,,
831,22,22,2000-10-07 11:10:00,2000-10-07 11:12:00,overhead_line,18374,RandEvent,F7167,TLG,TLG,19,0,-102.76526039 32.9901044099,node62463134548T62463134578 node62462225969T62462166024 node62462173273T62462173272 node62474212387T62474212358 node62462059542T62463000511 node62474202454T62474202471 node62474202147T62474202166 node62474211060T62463031930 node62474182051T62463002948 node62463188901T62463187888 node62462237962T62462237964 node62463193561T62463193504 node62463001766T62463001769 node62463189387T62463189482 node62463020936T62463020868 node62474215045T62474214083 node62463012543T62463012540 node62474195268T62474196213 node62474202258T62474202360,bird
832,23,23,2000-10-07 12:22:00,2000-10-07 12:24:00,overhead_line,72473,RandEvent,F6171,TLG,TLG,17,0,-102.760947055 32.9876736766,node62463188749T62463188832 node62474208819T62474208904 node62462229732T62462229741 node62474180317T62474180356 node62463001627T62463000688 node62463188901T62463187888 node62462238928T62462237996 node62474205893T62474206824 node62474202555T62474202581 node62473238221T62473238126 node62463016539T62463016634 node62474202679T62474202791 node62462226475T62462227457 node62462163909T62462162948 node62463001766T62463001769 node62463025237T62463024257 node62463075332T62463075357,bird
833,24,24,2000-10-08 05:48:00,2000-10-08 05:50:00,overhead_line,19748,RandEvent,F7517,TLG,SLG-C,4,0,-102.762572123 32.9924731692,node62474181379T62474181443 node62474202454T62474202471 node62463028720T62463028740 node62462219940T62462219856,bird
834,25,25,2000-10-09 02:59:00,2000-10-09 03:01:00,overhead_line,19589,RandEvent,F7167,TLG,TLG,24,0,-102.762294897 32.9924070778,node62462239978T62463120010 node62463021692T62463021663 node62463024844T62463025910 node62474206532T62474206505 node62474212215T62474212237 node62462059542T62463000511 node62462163909T62462162948 node62474202650T62474202681 node62474202046T62463022999 node62462058915T62462058961 node62462178343T62462178321 node62474195011T62474196023 node62463017062T62463017045 node62463000348T62463000400 node62463076992T62463076899 node62474196319T62474196353 node62474206893T62474207830 node62474144036T62474204979 node62474181058T62474181036 node62474181379T62474181443 node62462232961T62462233819 node62462229732T62462229741 node62474203871T62474203769 node62474209432T62474209464,bird
835,26,26,2000-10-09 05:10:00,2000-10-09 05:12:00,overhead_line,17188,RandEvent,F7508,TLG,TLG,30,0,-102.759309781 32.9889530882,node62462173273T62462173272 node62463016900T62463016837 node62463027895T62463028953 node62462232691T62462232564 node62474203572T62474203566 node62474209432T62474209464 node62462227630T62462227535 node62462057863T62462058873 node62463021692T62463021663 node62463121169T62463121197 node62474204748T62474204749 node62463020586T62463020670 node62463132202T62463131250 node62463074197T62463074165 node62462221928T62462221998 node62474181623T62474181695 node62463078953T62463078922 node62474182051T62463002948 node62463185287T62463186324 node62474202354T62474202362 node62474206893T62474207830 node62462059542T62463000511 node62474197221T62474197215 node62462219940T62462219856 node62463030909T62474210056 node62462236984T62462236981 node62474144036T62474204979 node62463123162T62463123126 node62462231679T62462231679 node62462101209T62462101267,bird
836,27,27,2000-10-09 15:48:00,2000-10-09 15:50:00,overhead_line,20865,RandEvent,F7167,TLG,TLG,24,0,-102.764827369 32.9945595267,node62463013691T62463013576 node62473239131T62473239069 node62462172359T62462172379 node62463188749T62463188832 node62474209432T62474209464 node62474197221T62474197215 node62463074975T62463014050 node62463019498T62463019467 node62474181379T62474181443 node62462059675T62463000610 node62462168810T62462168870 node62473239194T62474180122 node62462168493T62462169442 node62474202679T62474202791 node62463026977T62463026955 node62474144036T62474204979 node62462237962T62462237964 node62463000855T62463000829 node62474207930T62474207936 node62474211060T62463031930 node62462225969T62462166024 node62463129089T62463129146 node62463001766T62463001769 node62462219692T62462220516,bird
837,28,28,2000-10-09 18:15:00,2000-10-09 18:17:00,overhead_line,17699,RandEvent,F7508,TLG,SLG-A,16,0,-102.761033475 32.9896732474,node62474195011T62474196023 node62474203443T62474203356 node62463186691T62463186577 node62463021167T62463021200 node62463132482T62463132499 node62474207056T62474207085 node62474202147T62474202166 node62463014628T62463014734 node62463075332T62463075357 node62463020936T62463020868 node62463019058T62463019150 node62463021455T62463021550 node62474215045T62474214083 node62462235664T62462235631 node62463027895T62463028953 node62463016405T62463015557,bird
838,29,29,2000-10-09 19:46:00,2000-10-09 19:48:00,overhead_line,19342,RandEvent,F7586,TLG,TLG,1,0,-102.76344895 32.9918953458,node62463014628T62463014734,bird
839,30,30,2000-10-09 22:25:00,2000-10-09 22:27:00,overhead_line,19764,RandEvent,R1202,TLG,SLG-B,5,0,-102.762685452 32.9925273463,node62474201080T62463022938 node62463186691T62463186577 node62474202258T62474202360 node62463130850T62463130794 node62462173273T62462173272,bird
840,31,31,2000-10-10 05:12:00,2000-10-10 05:14:00,overhead_line,19731,RandEvent,F6171,TLG,SLG-B,6,0,-102.762426167 32.9924630913,node62463074798T62463074775 node62463017062T62463017045 node62462168810T62462168870 node62474181379T62474181443 node62473238040T62473238073 node62463186718T62463186742,bird
841,32,32,2000-10-10 10:06:00,2000-10-10 10:08:00,overhead_line,16797,RandEvent,F7508,TLG,SLG-B,9,0,-102.757979079 32.9881199135,node62463026977T62463026955 node62473238221T62473238126 node62474202046T62463022999 node62474215045T62474214083 node62463016405T62463015557 node62462226475T62462227457 node62462237962T62462237964 node62462157141T62462156117 node62463001804T62463001814,bird
842,33,33,2000-10-11 05:21:00,2000-10-11 05:23:00,overhead_line,20944,RandEvent,F6171,TLG,SLG-C,7,0,-102.763593932 32.9948449136,node62474206893T62474207830 node62463024800T62463023775 node62473238040T62473238073 node62474196319T62474196353 node62462221928T62462221998 node62462232691T62462232564 node62463019768T62463020860,bird
843,34,34,2000-10-11 08:37:00,2000-10-11 08:38:00,overhead_line,19560,RandEvent,F6171,TLG,SLG-B,6,0,-102.764642147 32.9922018929,node62474201080T62463022938 node62462057655T62462057695 node62463000348T62463000400 node62463025237T62463024257 node62463074975T62463014050 node62463028720T62463028740,bird
844,35,35,2000-10-11 12:23:00,2000-10-11 12:25:00,overhead_line,17783,RandEvent,F7508,TLG,TLG,30,0,-102.761746395 32.9898653582,node62474204552T62474204575 node62463016038T62463016077 node62463193561T62463193504 node62463139865T62463139950 node62474202147T62474202166 node62462169487T62462169469 node62474196191T62474197105 node62463123162T62463123126 node62474211556T62474211583 node62463019768T62463020860 node62474203871T62474203769 node62474182499T62474182459 node62463188901T62463187888 node62474215045T62474214083 node62462225428T62462224580 node62474202258T62474202360 node62463001627T62463000688 node62462091125T62462091135 node62463017062T62463017045 node62463124065T62463124087 node62474203572T62474203566 node62462172359T62462172379 node62462057439T62462057478 node62474146040T62474206947 node62462178343T62462178321 node62474181623T62474181695 node62462110050T62462110060 node62463133009T62463132037 node62463075194T62463075133 node62462229319T62462228465,bird
845,36,36,2000-10-12 00:12:00,2000-10-12 00:14:00,overhead_line,20286,RandEvent,F6171,TLG,SLG-B,6,0,-102.763860595 32.9936416676,node62463001627T62463000688 node62474205692T62474206624 node62474201080T62463022938 node62462057439T62462057478 node62463018228T62463018249 node62462168810T62462168870,bird
846,37,37,2000-10-12 01:07:00,2000-10-12 01:09:00,overhead_line,17654,RandEvent,F7508,TLG,SLG-A,16,0,-102.758746817 32.9897810287,node62474196319T62474196353 node62463079175T62463079127 node62463001804T62463001814 node62474195151T62474196103 node62474182051T62463002948 node62463189387T62463189482 node62463016539T62463016634 node62474180317T62474180356 node62474205151T62474205022 node62462057439T62462057478 node62474202147T62474202166 node62474202258T62474202360 node62463014628T62463014734 node62462232961T62462233819 node62462174083T62462174081 node62462234942T62462233960,bird
847,38,38,2000-10-12 02:41:00,2000-10-12 02:43:00,overhead_line,20369,RandEvent,F7508,TLG,TLG,30,0,-102.763875791 32.9940978669,node62462231529T62462231545 node62462059542T62463000511 node62463190800T62463189781 node62462226475T62462227457 node62463028401T62463028430 node62463016900T62463016837 node62462163909T62462162948 node62463132895T62463133818 node62463133009T62463132037 node62474202679T62474202791 node62474205151T62474205022 node62474204023T62474203073 node62474207119T62474207223 node62474203572T62474203566 node62473238040T62473238073 node62462226602T62462226538 node62463018228T62463018249 node62463075194T62463075133 node62474207489T62474207437 node62463189387T62463189482 node62473239194T62474180122 node62474181623T62474181695 node62474201080T62463022938 node62474196319T62474196353 node62463032835T62463032849 node62462058915T62462058961 node62474206706T62474206724 node62463019437T62463019414 node62462057863T62462058873 node62462222990T62462222900,bird
848,39,39,2000-10-12 06:00:00,2000-10-12 06:02:00,overhead_line,16622,RandEvent,F7167,TLG,TLG,24,0,-102.757822524 32.9879005248,node62463022720T62463022676 node62463021167T62463021200 node62462238928T62462237996 node62463016038T62463016077 node62463012543T62463012540 node62463024800T62463023775 node62462239978T62463120010 node62474181623T62474181695 node62462225969T62462166024 node62474182499T62474182459 node62474205692T62474206624 node62462221747T62462222618 node62462229732T62462229741 node62463019437T62463019414 node62463188749T62463188832 node62474205893T62474206824 node62463019768T62463020860 node62462166430T62462166454 node62463079175T62463079127 node62463025237T62463024257 node62462222990T62462222900 node62474202953T62474202989 node62474207119T62474207223 node62474202555T62474202581,bird
849,40,40,2000-10-12 12:31:00,2000-10-12 12:33:00,overhead_line,19328,RandEvent,F7167,TLG,TLG,24,0,-102.759794279 32.9919273193,node62462219692T62462220516 node62462170679T62462170743 node62463133009T62463132037 node62463000348T62463000400 node62462100389T62462101338 node62474208243T62474208138 node62462058915T62462058961 node62463032835T62463032849 node62462174083T62462174081 node62474204748T62474204749 node62463025237T62463024257 node62462163909T62462162948 node62474202454T62474202471 node62463074798T62463074775 node62463124065T62463124087 node62462059675T62463000610 node62474202679T62474202791 node62463128092T62463188978 node62463075332T62463075357 node62474202953T62474202989 node62474196319T62474196353 node62463076992T62463076899 node62462059793T62462059787 node62474207489T62474207437,bird
850,41,41,2000-10-12 14:04:00,2000-10-12 14:06:00,overhead_line,20509,RandEvent,F7586,TLG,TLG,1,0,-102.764211214 32.9940308058,node62463123162T62463123126,bird
851,42,42,2000-10-12 18:27:00,2000-10-12 18:29:00,overhead_line,16092,RandEvent,F6537,TLG,SLG-A,5,0,-102.758245532 32.9885552968,node62463000855T62463000829 node62463133009T62463132037 node62474206706T62474206724 node62463186718T62463186742 node62474213353T62474213347,bird
852,43,43,2000-10-13 02:07:00,2000-10-13 02:09:00,overhead_line,16738,RandEvent,F7167,TLG,TLG,24,0,-102.760140915 32.9883786287,node62474209432T62474209464 node62474202679T62474202791 node62463132895T62463133818 node62463000348T62463000400 node62463016539T62463016634 node62474211335T62474211356 node62474208819T62474208904 node62474202147T62474202166 node62463133761T62463133761 node62474181058T62474181036 node62462225428T62462224580 node62463001627T62463000688 node62474206532T62474206505 node62463186691T62463186577 node62473239131T62473239069 node62463021167T62463021200 node62474207056T62474207085 node62463022720T62463022676 node62463019058T62463019150 node62462169230T62462169245 node62474211556T62474211583 node62474202454T62474202471 node62462221747T62462222618 node62474144036T62474204979,bird
853,44,44,2000-10-13 04:00:00,2000-10-13 04:02:00,overhead_line,19353,RandEvent,F6171,TLG,SLG-C,7,0,-102.760971086 32.9921249391,node62462057439T62462057478 node62463028401T62463028430 node62463022720T62463022676 node62474181469T62474181497 node62474180317T62474180356 node62462222990T62462222900 node62463185287T62463186324,bird
854,45,45,2000-10-13 06:21:00,2000-10-13 06:23:00,overhead_line,16552,RandEvent,F6537,TLG,SLG-A,5,0,-102.759335042 32.9890787829,node62474205151T62474205022 node62463030909T62474210056 node62462232691T62462232564 node62474197221T62474197215 node62463073088T62463074161,bird
855,46,46,2000-10-13 10:53:00,2000-10-13 10:55:00,overhead_line,17035,RandEvent,F7508,TLG,SLG-B,9,0,-102.759612688 32.9885435236,node62462232691T62462232564 node62463019058T62463019150 node62463021455T62463021550 node62462169487T62462169469 node62473238255T62473238283 node62474205692T62474206624 node62473239131T62473239069 node62474204990T62474204859 node62474203871T62474203769,bird
856,47,47,2000-10-14 00:10:00,2000-10-14 00:12:00,overhead_line,17643,RandEvent,F5187,TLG,TLG,30,0,-102.761746395 32.9898653582,node62463190694T62463190598 node62462238928T62462237996 node62463134548T62463134578 node62474208819T62474208904 node62463188901T62463187888 node62463019437T62463019414 node62462101209T62462101267 node62462166430T62462166454 node62473238040T62473238073 node62462170679T62462170743 node62463021167T62463021200 node62474208243T62474208138 node62474212215T62474212237 node62463022720T62463022676 node62474181623T62474181695 node62474206532T62474206505 node62463016405T62463015557 node62474202555T62474202581 node62463021692T62463021663 node62462100389T62462101338 node62474211335T62474211356 node62463188749T62463188832 node62463075332T62463075357 node62474202147T62474202166 node62463012543T62463012540 node62462169230T62462169245 node62463020586T62463020670 node62474203572T62474203566 node62463022298T62463022289 node62473238221T62473238126,bird
857,48,48,2000-10-14 05:39:00,2000-10-14 05:41:00,overhead_line,19387,RandEvent,F6171,TLG,TLG,17,0,-102.760477548 32.9919248236,node62474182051T62463002948 node62463073088T62463074161 node62462238928T62462237996 node62474196319T62474196353 node62463133906T62463072031 node62462172377T62462172490 node62462235664T62462235631 node62463134548T62463134578 node62463190800T62463189781 node62463186398T62463185453 node62463074975T62463014050 node62462101209T62462101267 node62474202454T62474202471 node62474208819T62474208904 node62474181379T62474181443 node62463002869T62463003904 node62462091125T62462091135,bird
858,49,49,2000-10-14 11:10:00,2000-10-14 11:12:00,overhead_line,19399,RandEvent,F6171,TLG,TLG,17,0,-102.763320812 32.9917139397,node62462169487T62462169469 node62474204990T62474204859 node62474202147T62474202166 node62474207119T62474207223 node62462110050T62462110060 node62462059793T62462059787 node62463001627T62463000688 node62463019058T62463019150 node62462057439T62462057478 node62462174083T62462174081 node62463018993T62463018961 node62474202454T62474202471 node62462059542T62463000511 node62462058558T62462057585 node62463133906T62463072031 node62462219692T62462220516 node62462091125T62462091135,bird
859,50,50,2000-10-14 13:57:00,2000-10-14 13:59:00,overhead_line,17104,RandEvent,F7167,TLG,TLG,24,0,-102.758826239 32.9891975266,node62462238928T62462237996 node62463030909T62474210056 node62463133906T62463072031 node62463074975T62463014050 node62463133761T62463133761 node62463016405T62463015557 node62463139865T62463139950 node62474202147T62474202166 node62474202046T62463022999 node62463134548T62463134578 node62474203443T62474203356 node62474207489T62474207437 node62463186691T62463186577 node62463022720T62463022676 node62463132202T62463131250 node62463132895T62463133818 node62462091125T62462091135 node62463013691T62463013576 node62463027895T62463028953 node62463079175T62463079127 node62462057655T62462057695 node62463078953T62463078922 node62462229510T62462229436 node62463188749T62463188832,bird
860,51,51,2000-10-14 22:45:00,2000-10-14 22:47:00,overhead_line,19507,RandEvent,,TLG,None,0,0,-102.762459409 32.9920625597,,
861,52,52,2000-10-14 22:01:00,2000-10-14 22:03:00,overhead_line,19559,RandEvent,F6171,TLG,SLG-B,6,0,-102.764509746 32.9923405217,node62462219692T62462220516 node62463133009T62463132037 node62462236984T62462236981 node62463124065T62463124087 node62463021455T62463021550 node62474211556T62474211583,bird
862,53,53,2000-10-14 22:11:00,2000-10-14 22:13:00,overhead_line,68298,RandEvent,F7508,TLG,SLG-A,16,0,-102.763673593 32.9949362669,node62463074798T62463074775 node62474206532T62474206505 node62463025237T62463024257 node62462058744T62462058764 node62462059793T62462059787 node62474195268T62474196213 node62462059675T62463000610 node62474196191T62474197105 node62463001627T62463000688 node62474213353T62474213347 node62463019437T62463019414 node62463019498T62463019467 node62463016251T62463016201 node62462101209T62462101267 node62474204023T62474203073 node62463016539T62463016634,bird
863,54,54,2000-10-15 03:47:00,2000-10-15 03:49:00,overhead_line,20531,RandEvent,F6537,TLG,SLG-A,5,0,-102.764173564 32.9944448471,node62474202258T62474202360 node62463132202T62463131250 node62462157141T62462156117 node62474203572T62474203566 node62474207056T62474207085,bird
864,55,55,2000-10-15 21:42:00,2000-10-15 21:44:00,overhead_line,68161,RandEvent,F6171,TLG,SLG-B,6,0,-102.760528475 32.9858188067,node62474202258T62474202360 node62462237962T62462237964 node62463016539T62463016634 node62462239978T62463120010 node62462157141T62462156117 node62462178343T62462178321,bird
865,56,56,2000-10-16 03:28:00,2000-10-16 03:30:00,overhead_line,19521,RandEvent,F6171,TLG,SLG-C,7,0,-102.759966134 32.9921878927,node62474197221T62474197215 node62462227630T62462227535 node62463123162T62463123126 node62462229510T62462229436 node62474208243T62474208138 node62474207056T62474207085 node62463013707T62463013737,bird
866,57,57,2000-10-16 17:13:00,2000-10-16 17:15:00,overhead_line,68300,RandEvent,F7508,TLG,TLG,30,0,-102.763707165 32.9949645992,node62474203981T62474203987 node62463076992T62463076899 node62463019285T62463019253 node62463019768T62463020860 node62462236984T62462236981 node62463019437T62463019414 node62474196319T62474196353 node62474202454T62474202471 node62463001804T62463001814 node62463189387T62463189482 node62463075194T62463075133 node62474181335T62474180389 node62463190800T62463189781 node62463133906T62463072031 node62462059793T62462059787 node62474212215T62474212237 node62463001627T62463000688 node62462166430T62462166454 node62474204990T62474204859 node62462057655T62462057695 node62463074798T62463074775 node62474211335T62474211356 node62474204748T62474204749 node62462235664T62462235631 node62474208243T62474208138 node62463021455T62463021550 node62474203871T62474203769 node62462059542T62463000511 node62463188749T62463188832 node62463190694T62463190598,bird
867,58,58,2000-10-16 20:38:00,2000-10-16 20:40:00,overhead_line,68302,RandEvent,F7516,TLG,SLG-B,1,0,-102.763718191 32.9949555323,node62462059675T62463000610,bird
868,59,59,2000-10-17 14:04:00,2000-10-17 14:06:00,overhead_line,17268,RandEvent,F7427,TLG,SLG-A,1,0,-102.757967115 32.988868036,node62462237962T62462237964,bird
869,60,60,2000-10-18 15:34:00,2000-10-18 15:36:00,overhead_line,18790,RandEvent,F7508,TLG,SLG-A,16,0,-102.757727066 32.9910217219,node62463019437T62463019414 node62462226475T62462227457 node62463193561T62463193504 node62463021167T62463021200 node62462173273T62462173272 node62463078953T62463078922 node62474207056T62474207085 node62474197221T62474197215 node62473239194T62474180122 node62463130850T62463130794 node62474215045T62474214083 node62462091125T62462091135 node62462058915T62462058961 node62473238221T62473238126 node62474204371T62474204354 node62462166430T62462166454,bird
870,61,61,2000-10-18 22:03:00,2000-10-18 22:05:00,overhead_line,15048,RandEvent,F6171,TLG,SLG-C,7,0,-102.760646929 32.9858341761,node62474206532T62474206505 node62462170679T62462170743 node62462110050T62462110060 node62474215045T62474214083 node62463017062T62463017045 node62463134548T62463134578 node62463019768T62463020860,bird
871,62,62,2000-10-18 23:37:00,2000-10-18 23:39:00,overhead_line,20286,RandEvent,F7167,TLG,TLG,24,0,-102.763860595 32.9936416676,node62463133906T62463072031 node62462059675T62463000610 node62463074798T62463074775 node62474196319T62474196353 node62463073088T62463074161 node62463076992T62463076899 node62463021167T62463021200 node62463000855T62463000829 node62474180317T62474180356 node62473238221T62473238126 node62474202555T62474202581 node62462238928T62462237996 node62474197221T62474197215 node62474202650T62474202681 node62463020586T62463020670 node62463021455T62463021550 node62474203871T62474203769 node62463188901T62463187888 node62462059542T62463000511 node62463019437T62463019414 node62462226475T62462227457 node62462225969T62462166024 node62463189387T62463189482 node62462169230T62462169245,bird
872,63,63,2000-10-19 06:38:00,2000-10-19 06:39:00,overhead_line,17888,RandEvent,F6171,TLG,SLG-C,7,0,-102.765459234 32.9904338939,node62462163909T62462162948 node62462221928T62462221998 node62474212387T62474212358 node62462237962T62462237964 node62463074197T62463074165 node62463016539T62463016634 node62463078953T62463078922,bird
873,64,64,2000-10-19 06:50:00,2000-10-19 06:52:00,overhead_line,16222,RandEvent,F7508,TLG,TLG,30,0,-102.758146075 32.9875052078,node62474182051T62463002948 node62462172377T62462172490 node62463024800T62463023775 node62463028401T62463028430 node62462173273T62462173272 node62462234942T62462233960 node62474202953T62474202989 node62462166430T62462166454 node62463075194T62463075133 node62462057863T62462058873 node62463026977T62463026955 node62474202555T62474202581 node62462231414T62462230473 node62463020586T62463020670 node62462222990T62462222900 node62462227630T62462227535 node62463121169T62463121197 node62462110050T62462110060 node62474202147T62474202166 node62474204371T62474204354 node62474207559T62474207612 node62474211060T62463031930 node62463019768T62463020860 node62463013707T62463013737 node62463016038T62463016077 node62463019058T62463019150 node62474206893T62474207830 node62463074798T62463074775 node62474203871T62474203769 node62474212215T62474212237,bird
874,65,65,2000-10-19 23:20:00,2000-10-19 23:22:00,overhead_line,20341,RandEvent,F7167,TLG,TLG,24,0,-102.764644393 32.9938209673,node62474181623T62474181695 node62474211060T62463031930 node62463186691T62463186577 node62462232961T62462233819 node62462237962T62462237964 node62474202046T62463022999 node62463124065T62463124087 node62474204023T62474203073 node62463014628T62463014734 node62463016405T62463015557 node62474211335T62474211356 node62462239978T62463120010 node62462174083T62462174081 node62462219940T62462219856 node62463016251T62463016201 node62463028720T62463028740 node62474203572T62474203566 node62474146040T62474206947 node62474195151T62474196103 node62473239131T62473239069 node62462173273T62462173272 node62463016539T62463016634 node62463129089T62463129146 node62462091125T62462091135,bird
875,66,66,2000-10-20 00:48:00,2000-10-20 00:50:00,overhead_line,15042,RandEvent,F6171,TLG,SLG-B,6,0,-102.760621521 32.985830427,node62462058915T62462058961 node62474204371T62474204354 node62462232691T62462232564 node62474203572T62474203566 node62462059308T62462058491 node62462100205T62462100224,bird
876,67,67,2000-10-20 10:17:00,2000-10-20 10:19:00,overhead_line,20501,RandEvent,F6171,TLG,TLG,17,0,-102.763458737 32.9939984384,node62462059675T62463000610 node62463188749T62463188832 node62463028401T62463028430 node62473238221T62473238126 node62474206893T62474207830 node62474204023T62474203073 node62463132202T62463131250 node62474182051T62463002948 node62462173273T62462173272 node62463032835T62463032849 node62462059793T62462059787 node62463133906T62463072031 node62473239131T62473239069 node62474201080T62463022938 node62463129089T62463129146 node62462057655T62462057695 node62463132895T62463133818,bird
877,68,68,2000-10-20 12:13:00,2000-10-20 12:15:00,overhead_line,19582,RandEvent,F5187,TLG,SLG-A,15,0,-102.76187024 32.992222956,node62463024800T62463023775 node62474211556T62474211583 node62474209432T62474209464 node62474181469T62474181497 node62463019498T62463019467 node62474202953T62474202989 node62463123162T62463123126 node62463132202T62463131250 node62463018228T62463018249 node62474204552T62474204575 node62462221747T62462222618 node62474204990T62474204859 node62462057439T62462057478 node62463188749T62463188832 node62462237962T62462237964,bird
878,69,69,2000-10-20 22:15:00,2000-10-20 22:17:00,overhead_line,20248,RandEvent,F7508,TLG,SLG-A,16,0,-102.763860595 32.9936416676,node62474203871T62474203769 node62474181335T62474180389 node62474207930T62474207936 node62462058915T62462058961 node62463193561T62463193504 node62462229319T62462228465 node62463124065T62463124087 node62463030909T62474210056 node62473239194T62474180122 node62463073088T62463074161 node62474215045T62474214083 node62463022298T62463022289 node62462172377T62462172490 node62463024844T62463025910 node62474182499T62474182459 node62463017062T62463017045,bird
879,70,70,2000-10-20 22:21:00,2000-10-20 22:23:00,overhead_line,16894,RandEvent,F5187,TLG,TLG,30,0,-102.758484708 32.9880155536,node62463012543T62463012540 node62474202679T62474202791 node62463017349T62463017451 node62463013707T62463013737 node62463133906T62463072031 node62463014628T62463014734 node62474181058T62474181036 node62463022298T62463022289 node62462227630T62462227535 node62474205151T62474205022 node62463018228T62463018249 node62463186691T62463186577 node62474181379T62474181443 node62462163909T62462162948 node62474195268T62474196213 node62462168810T62462168870 node62462223811T62462223734 node62474205692T62474206624 node62474207056T62474207085 node62473239131T62473239069 node62474211060T62463031930 node62463190800T62463189781 node62463019498T62463019467 node62463028401T62463028430 node62474213353T62474213347 node62463024800T62463023775 node62463019058T62463019150 node62463027798T62463027880 node62474207559T62474207612 node62463021455T62463021550,bird
880,71,71,2000-10-21 01:50:00,2000-10-21 01:52:00,overhead_line,20611,RandEvent,F6171,TLG,TLG,17,0,-102.76506155 32.994310499,node62474212215T62474212237 node62474202650T62474202681 node62462219940T62462219856 node62463186398T62463185453 node62462110050T62462110060 node62474195268T62474196213 node62463022720T62463022676 node62462059308T62462058491 node62463074975T62463014050 node62462231529T62462231545 node62463002869T62463003904 node62474182499T62474182459 node62462170679T62462170743 node62463073088T62463074161 node62462237962T62462237964 node62462229732T62462229741 node62474205893T62474206824,bird
881,72,72,2000-10-21 12:52:00,2000-10-21 12:54:00,overhead_line,20350,RandEvent,F7508,TLG,SLG-B,9,0,-102.764623511 32.9938267338,node62474211335T62474211356 node62463018228T62463018249 node62474182499T62474182459 node62462170679T62462170743 node62462100389T62462101338 node62462239978T62463120010 node62463018993T62463018961 node62462232961T62462233819 node62463001627T62463000688,bird
882,73,73,2000-10-21 13:30:00,2000-10-21 13:32:00,overhead_line,16676,RandEvent,F6171,TLG,TLG,17,0,-102.760257679 32.9876057015,node62474146040T62474206947 node62474181379T62474181443 node62463185287T62463186324 node62474201080T62463022938 node62463124065T62463124087 node62463017349T62463017451 node62462173273T62462173272 node62463188749T62463188832 node62463128092T62463188978 node62462169487T62462169469 node62473239131T62473239069 node62473238255T62473238283 node62463016251T62463016201 node62462231529T62462231545 node62462057863T62462058873 node62462225969T62462166024 node62463121169T62463121197,bird
883,74,74,2000-10-22 06:40:00,2000-10-22 06:42:00,overhead_line,19387,RandEvent,F7508,TLG,SLG-A,16,0,-102.760477548 32.9919248236,node62462163909T62462162948 node62463121169T62463121197 node62463027895T62463028953 node62463079175T62463079127 node62474202650T62474202681 node62463124065T62463124087 node62474181335T62474180389 node62463132895T62463133818 node62463186691T62463186577 node62462221928T62462221998 node62462091125T62462091135 node62463130850T62463130794 node62462057655T62462057695 node62462221747T62462222618 node62463018503T62463017479 node62462100205T62462100224,bird
884,75,75,2000-10-22 09:27:00,2000-10-22 09:29:00,overhead_line,16100,RandEvent,F7167,TLG,TLG,24,0,-102.757904855 32.9872131749,node62474207119T62474207223 node62462229319T62462228465 node62474201080T62463022938 node62463018503T62463017479 node62462057655T62462057695 node62462232961T62462233819 node62463190694T62463190598 node62473239131T62473239069 node62463000348T62463000400 node62463190800T62463189781 node62474203871T62474203769 node62462174083T62462174081 node62463001804T62463001814 node62473239194T62474180122 node62463002869T62463003904 node62463028401T62463028430 node62462226602T62462226538 node62474202147T62474202166 node62474205893T62474206824 node62462157141T62462156117 node62463020586T62463020670 node62463134548T62463134578 node62474207056T62474207085 node62463016900T62463016837,bird
885,76,76,2000-10-22 14:32:00,2000-10-22 14:34:00,overhead_line,19503,RandEvent,F7508,TLG,DLG-BC,14,0,-102.761465703 32.9921109918,node62462221747T62462222618 node62474204990T62474204859 node62463016405T62463015557 node62463022298T62463022289 node62463027798T62463027880 node62474204748T62474204749 node62463139865T62463139950 node62462226602T62462226538 node62463121169T62463121197 node62463019285T62463019253 node62463019437T62463019414 node62474202147T62474202166 node62463078953T62463078922 node62462237962T62462237964,bird
